"source_schema,source_table"
"nav,Acc_ Schedule Line"
"nav,Accounting Period"
"nav,Appointment Schedule"
"nav,Bank Account"
"nav,Bid Header"
"nav,Bid Line"
"nav,Bin"
"nav,Bin Content"
"nav,Bin Type"
"nav,Campaign"
"nav,Campaign Target Group"
"nav,Change Log Entry"
"nav,Change Log Entry (Full History)"
"nav,Commodity AMT Limit"
"nav,Commodity Component"
"nav,Commodity LB Limit"
"nav,Commodity Ledger Entry"
"nav,Commodity Manufacturer"
"nav,Commodity Opt Out"
"nav,Contact"
"nav,Contact Business Relation"
"nav,Co-op Distributor Transaction"
"nav,Cust_ Ledger Entry"
"nav,Customer"
"nav,Customer Grouping"
"nav,Default Dimension"
"nav,Delivery Schedule"
"nav,Detailed Cust_ Ledg_ Entry"
"nav,Detailed Vendor Ledg_ Entry"
"nav,Dimension Set Entry"
"nav,Dimension Value"
"nav,Employee"
"nav,Fixed Asset"
"nav,G_L Account"
"nav,G_L Entry"
"nav,GSF Item Cost"
"nav,GSF Item Cost History"
"nav,GSF Item Usage"
"nav,GSF Sales Price"
"nav,Item"
"nav,Item Application Entry"
"nav,Item Charge"
"nav,Item Cross Reference"
"nav,Item Date Range"
"nav,Item Grouping"
"nav,Item History"
"nav,Item Ledger Entry"
"nav,Item Spec"
"nav,Item Unit of Measure"
"nav,Location"
"nav,Lot No_ Information"
"nav,Pallet Bin Content"
"nav,Pallet Movement"
"nav,Purch_ Cr_ Memo Hdr_"
"nav,Purch_ Cr_ Memo Line"
"nav,Purch_ Inv_ Header"
"nav,Purch_ Inv_ Line"
"nav,Purch_ Rcpt_ Header"
"nav,Purch_ Rcpt_ Line"
"nav,Purchase Header"
"nav,Purchase Line"
"nav,Reason Code"
"nav,Receive Pallet Candidate"
"nav,Registered Whse_ Activity Hdr_"
"nav,Registered Whse_ Activity Line"
"nav,Return Reason"
"nav,Return Receipt Header"
"nav,Return Receipt Line"
"nav,Return Shipment Header"
"nav,Sales Cr_Memo Header"
"nav,Sales Cr_Memo Line"
"nav,Sales Header"
"nav,Sales Invoice Header"
"nav,Sales Invoice Line"
"nav,Sales Line"
"nav,Sales Price"
"nav,Sales Rebate Header"
"nav,Sales Rebate Line"
"nav,Sales Shipment Header"
"nav,Sales Shipment Line"
"nav,Salesperson_Purchaser"
"nav,Short Ship"
"nav,State Refund"
"nav,Stockkeeping Unit"
"nav,Storage Fee Ledger Entry"
"nav,Tax Detail"
"nav,Transfer Header"
"nav,Transfer Line"
"nav,User Setup"
"nav,Value Entry"
"nav,Vendor"
"nav,Vendor Ledger Entry"
"nav,Warehouse Entry"
